PLATFORM,PRACTICE,YEAR-MONTH,TRAIN/TEST,HORIZON,ACTUAL,Value_1_Year_Expected_Inflation_mom_abs,Value_2_Year_Expected_Inflation,30Y Interest Rate and Bond Yield__regressor,Accenture__regressor_mom_pct,Adobe__regressor,Amazon__regressor_mom_abs,Anaplan__regressor_ma3,Average Deal Value Series__regressor_ma3,Consumer Price Index__regressor,CyberArk__regressor_ma3,FTI Consulting__regressor,Fiserv__regressor_ma3,Genpact__regressor_ma3,Globant__regressor_mom_pct,Google__regressor_ma3,Value_Gross_Domestic_Product_Research_and_Development_ma3,Value_Harmonized_Index_of_Consumer_Prices_All_Items_for_United_States,Huron Consulting__regressor_ma3,IBM__regressor_mom_abs,Value_Imports_of_Goods_and_Services,Industrial_Sector__regressor_ma3,Infosys__regressor_mom_pct,Interest Rate Long Term__regressor,Market Capitalized of S&P 500 Stocks__regressor_ma3,Marsh & McLennan__regressor,Nominal GDP Growth__regressor_ma3,Oracle__regressor,Pharmaceuticals_Sector__regressor_ma3,Value_Real_Gross_Domestic_Product_Research_and_Development_ma3,Retail_Sector__regressor_ma3,S&P 500 Dividends__regressor_ma3,S&P 500 Dividends/Share__regressor_ma3,S&P 500 Equity Risk __regressor_ma3,S&P 500 Index Value__regressor_ma3,S&P 500 Price Per Share__regressor_ma3,S&P 500 Price Per Share J__regressor_ma3,S&P500 Dividends__regressor,SAP__regressor_mom_abs,Salesforce__regressor_mom_pct,Value_US_Real_GDP_ma3,Workday__regressor_ma3,Workiva__regressor,Zuora__regressor_ma3,nCino__regressor
"Cyber, Risk & Reg",All Practice,2022-08-01,TRAIN,6,184111176.59,0.385660349999999,2.14411316,1.98446812596006,0.00678791294236091,4161.51111111111,-4430.72538569424,162.626170523609,369.593392643986,287.037920240926,144.402675998649,692.290605555555,4229.24471196301,1064.65943539036,0.0207722059244295,73062.5576047997,889.336333333333,118.38,246.817570385954,-513.866339410937,3925.742,22751.2791804512,0.00497425224648373,2.2645,37739.3771751639,5276.62222222222,10.7562726836424,10411.85,7546.32251361771,777.556,34150.8968302223,548.836289545123,16.2372035478676,2.68069594394296,4438.76137572324,4549.14404008308,4465.66061956383,64.2134777063077,-275.418232819074,0.00642916141427329,21922.6959999999,1377.84041476806,123.796061111111,90.8442242299101,81.4806444444444
"Cyber, Risk & Reg",All Practice,2022-09-01,TRAIN,6,194665207.049999,0.43028,2.37197211,2.07175372875476,0.00178265733933646,4211.33333333333,-6872.84444444443,164.863018349696,374.654865776479,289.292778469347,142.35344653005,707.823666666666,4213.01765882291,1069.95308756428,0.0182557026225935,72546.6807932055,898.171,120.29,252.069683912524,-818.788888888888,3925.742,23054.8387124101,0.00230820390438557,2.589,36111.8422735261,5411.66666666666,10.4096695522287,10462.0,7430.585498399,781.448,35677.7945241175,552.975757541355,16.3730304399771,2.71953668324209,4345.74626830822,4464.17116654558,4276.37671316687,65.1941755394693,-395.955555555556,0.0037881506044799,21903.85,1396.15679641057,126.710333333333,91.5602483844995,87.7923333333333
"Cyber, Risk & Reg",All Practice,2022-10-01,TRAIN,6,192715084.53,0.33520458,2.67083134,2.39768136200716,0.00585768713397083,4261.10443630443,-5582.54147334148,166.895,410.870294179306,291.456574910171,136.15108389635,722.913687199837,4185.67178130511,1070.1870070818,0.0194398870354179,70599.0884818884,907.519,121.01,256.201366368199,-620.097232397232,4093.663,23494.0899469776,0.00421559964885487,2.88071672771672,34161.467894844,5516.9107041107,10.0777807402382,10582.5562271062,9099.55358880177,787.092333333333,35551.6782031401,556.564414661831,16.4942471849138,2.77873039247033,4235.75267409786,4353.11118346468,4049.04670915917,66.1725469214593,-312.47391127391,0.00567253141977741,21908.974,1416.18841353954,129.30641048026,92.432030375797,93.4943027269027
"Cyber, Risk & Reg",All Practice,2022-11-01,TRAIN,6,193989665.496,0.241754439999999,2.87671049,2.7457669094693,0.0210525372762648,4304.24175824175,224.966381766382,168.323,398.285296683314,292.915726023786,132.592136358703,734.307164835164,4194.87627865961,1071.69311074481,0.0224489804949914,69177.3875050875,916.867,122.53,260.299351207434,243.232763532761,4093.663,23826.187976645,0.0111631330579342,2.98824175824175,32534.7348318047,5491.08791208791,9.76980082351953,10965.0549450549,10457.8873383605,792.736666666666,35371.7313292987,559.000782101245,16.5826920363587,2.83377750517349,4140.78819019001,4236.72136236646,3860.1533842345,67.0012771188645,56.9720797720801,0.0123534384987238,21914.098,1440.56848159001,130.312736263736,93.6176710554877,96.0560109890109
"Cyber, Risk & Reg",All Practice,2022-12-01,TRAIN,6,157872831.179999,0.592055519999999,3.18112765,2.8847275985663,0.024163826771153,4345.80219780219,1605.43956043956,169.043,379.035200672436,294.190052133543,133.278539899606,744.821956043956,4251.9397707231,1075.93119865689,0.0227418434841066,68741.8307285307,926.215,124.45,264.596209571292,448.45054945055,4093.663,23992.9440390742,0.0126772842935494,3.04745421245421,31406.2789118627,5434.10989010989,9.48969511624028,11409.8186813186,10457.5716965503,798.381,36309.5211223339,560.107465367619,16.6329700176366,2.87819260127833,4069.54885502977,4058.50220751917,3730.34374080363,67.7907571694933,144.791208791209,0.0137789116640838,21919.222,1469.8547703568,130.94117032967,95.1523584791751,97.8712637362637
"Cyber, Risk & Reg",All Practice,2023-01-01,TRAIN,6,168141708.559999,-0.917435669999999,2.67646389,2.94285466527922,0.0163302402256244,4382.52679438373,1668.65408504537,169.159,354.538744226251,295.413197775528,137.446244226787,754.667567899141,4343.76744807319,1082.45498008723,0.02244786326749,69095.3182600475,931.961666666666,124.2,268.992918633026,276.788634927484,3988.447,24026.0621468398,0.0117483640858326,3.13722628937215,30788.4280160742,5350.15598847155,9.21217402909375,11747.4160411818,8126.06439914664,802.279,37691.2156046677,560.500918341294,16.6632161223535,2.90427962691793,4019.69497097741,4005.58384165799,3661.10102006633,68.3234422672073,134.686188986328,0.0120091739922623,21968.4093333333,1502.20937011492,131.532849005132,96.8986849508602,99.69845656027
"Cyber, Risk & Reg",All Practice,2023-02-01,TRAIN,6,170970122.769999,0.0678539499999999,2.6593637,2.79190183836281,-0.0095398161738216,4402.34782608695,1924.84376493071,169.159,324.573435756948,296.452192260463,141.890487577639,762.252173913043,4420.22293461564,1089.54328077205,0.0230644993753186,69394.4767247712,937.708333333333,123.88,273.307242569959,-340.084860441102,3988.447,24066.4114834801,0.0090465102333852,3.35039855072464,30615.9698207529,5167.17391304347,8.81855021285077,11702.6086956521,6837.68664156969,806.177,38265.3835691395,562.860420285648,16.7530353610858,2.88467881215783,3975.51207977999,3955.01985391374,3644.98049883111,67.840284880718,100.314288796757,0.00640072119081613,22017.5966666666,1531.77787146864,132.001173913043,98.3904982969345,101.598826086956
"Cyber, Risk & Reg",All Practice,2023-03-01,TRAIN,6,187492226.93,0.80201804,3.18169492,3.01888637992831,-0.0153251389113252,4417.92934782608,1945.03804347827,169.159,324.151755395359,297.424073793477,145.828137780697,769.172027173913,4469.33577105456,1096.73750083098,0.0223449561010677,69441.0824143715,943.455,123.93,277.469410172284,-473.744565217391,3988.447,24146.5346218365,0.00820926285160039,3.59019927536232,30865.3802772851,4965.27717391304,8.28295139973093,11571.6576086956,6878.15034976145,810.075,39118.4358470069,567.825590591159,16.9212783137853,2.8132816876936,3933.14867607483,3886.5854662196,3679.23231873484,67.1122672564655,90.505434782608,0.00499801115991394,22066.784,1557.04239852311,132.432152173913,99.5131870809765,103.478222826086
"Cyber, Risk & Reg",All Practice,2023-04-01,TRAIN,6,157704786.57496,-1.29719036999999,2.59486632,3.34334096427332,-0.0113891526141084,4436.28786816269,2946.9791374474,169.159,371.377282234531,298.38641703084,149.479755434782,774.715291374474,4497.12131837307,1103.39295523609,0.0221604693137094,69437.4323866292,949.786666666666,124.33,281.842959151472,-226.036290322579,3897.402,24178.7483370796,0.00804683680531459,3.77913510986442,31468.9222181363,4816.5136746143,7.66232881377493,11516.3025946704,8573.70774859403,814.143666666666,38731.1603796709,574.602775736091,17.14345371669,2.70103808323311,3897.39505321615,3825.11878452229,3755.63048587966,66.6117173648432,109.821002805048,0.00837540155261207,22127.6756666666,1578.47568776297,133.458889200561,100.328714878447,105.247526998597
"Cyber, Risk & Reg",All Practice,2023-05-01,TRAIN,6,170125130.04496,0.357089069999999,2.82678789,3.63844265232974,0.00346264856670242,4464.5,6502.16216690042,169.159,383.960327412939,299.311471493641,153.609217391304,775.374010869565,4524.80066619915,1107.18245523609,0.022734969322159,70102.4106474988,956.118333333333,123.91,287.696008064516,652.905855539971,3897.402,23851.2821145796,0.00764615349922337,3.76922101449275,32158.137397953,4856.28260869565,7.1830086128256,11729.1847826086,9395.74658446849,818.212333333333,35579.8573306649,580.048140621598,17.3224754558204,2.59142451882413,3887.19861165626,3852.73625650364,3841.55659145249,67.0004241404717,178.358345021038,0.0202777423224724,22188.5673333333,1597.64046493688,136.599554347826,101.052785530621,106.626190217391
